sha256,family,date,label,vt,vt_scan_date,vt_year
3ea2ba1a860c989942f3c19924bbf9291929a8803fb8c6f5685bce576309e21a, benign, 2018-11-20 15:46:38,0.0,0.0,2018-12-25 03:24:38,2018
acede86ce39263cd4f250ef2f0ed56cc73f32619f199c4500b60dd59991066fc, ouow, 2019-04-09 13:07:06,1.0,7.0,2019-07-09 13:07:28,2019
04e95c61e29007905ac6784c1680af6a1a4689ecbbc92bf5898437799e6f7903, benign, 2016-05-09 20:19:38,0.0,0.0,2016-06-20 09:06:47,2016
ba499c3b8e981e3910922ef36fccd0782c84a95b2e9d1a50c78e029669467402, benign, 2019-09-02 17:26:36,0.0,0.0,2019-10-05 02:52:46,2019
ac1fedb5d929ed99053bdd787ee8b6f6faee056c4b3c9188a7f2dfc32ef65a26, benign, 2017-02-07 14:12:10,0.0,0.0,2017-09-16 20:15:07,2017
292a87235ced592d13ea36891800608a890709399d40fbf92c89c84d1da3e578, smspay, 2017-07-21 10:15:30,1.0,22.0,2018-07-12 11:42:35,2018
eff9c95689f004ecf37e54a90d25ef395fc39c9b9dc5db07c608aaa78977e02c, dowgin, 2015-09-08 21:44:06,1.0,15.0,2016-04-02 10:35:38,2016
535b8565401942aad473e9aa21eb97e76a9b9337daddec32e00214360f5b14c2, kuguo, 2015-11-27 09:23:12,1.0,8.0,2016-03-22 08:42:32,2016
59bfed54c00e843768f2d40dcce4f341ce631a1ba08ce5119f7bea1e10bac8be, benign, 2018-06-08 20:59:44,0.0,0.0,2018-08-25 13:34:35,2018
dfcb2371284d56953e6cf10937c3301174ac7689a3612f24d113d60bdeaefeee, igexin, 2015-07-20 10:07:56,1.0,8.0,2016-02-18 18:21:56,2016
d1a52652f2911a6ea2e3a0757ff4ff59f7b999c0f13e047db7a23a33fec0f630, tencentprotect, 2019-04-17 11:01:42,1.0,8.0,2019-09-10 11:19:44,2019
0ffb760aeec0028ea1784ef1386dbdcf9b4cd6b509a00726bd7c6f8c453376b5, tencentprotect, 2019-05-15 18:32:46,1.0,4.0,2019-05-15 13:09:25,2019
13b318f89b56fb45fd2684400fcefa1e2015d00020d8128b8f064c23aaf4007b, kuguo, 2015-07-28 12:00:46,1.0,4.0,2015-09-20 13:51:15,2015
2b8899f1b137df649d58503512180549c472602cc77faa0c7f4a4adb9fa62604, benign, 2019-04-23 12:26:36,0.0,0.0,2019-06-16 14:41:52,2019
819482823969667d2bef18e250fca57b2bf3681ba77bb7893e6268714f5a7d7b, benign, 2018-05-26 07:37:08,0.0,0.0,2018-08-21 12:24:56,2018
1f28d69c53993b3d5cf25f94ff7376715aa77070932c27264fde7b70f16b4650, inmobi, 2016-02-14 00:56:00,1.0,4.0,2016-07-24 11:45:03,2016
14b2eb4f23101b6045c0b1036a35642d4ec91afe22210b6106bae6ebfa6056ec, sandr, 2019-03-22 11:27:44,1.0,28.0,2019-03-29 06:22:13,2019
3ee1170d50a3c97217efda346c4bee2d748b9375226dd0c1df87ffc93eb4a431, wroba, 2019-10-17 08:40:26,1.0,22.0,2019-10-18 06:24:13,2019
f0694e6c9aaf6bbad7aaff4fb34cb5091f8bda2d593c31df95baee34a54a104b, benign, 2018-04-29 02:35:46,0.0,0.0,2018-06-17 23:24:20,2018
7f4c96a57c0aa272aaca70f67058446d5f8c38a591c7cd5afbed413e60ea883e, openconnection, 2019-06-04 10:39:16,1.0,23.0,2020-02-03 12:26:39,2020
4973f4796903e6fcc8c895a0e25edf05b82b96f091b2a7e035736fd614f1f2cb, ewind, 2015-09-28 20:59:32,1.0,6.0,2016-03-17 09:31:04,2016
c54426217bee3074f9c8c0ea1d36f2e13207059b6e0a0051030b3dfe753c080a, kuguo, 2015-09-21 09:57:42,1.0,12.0,2016-02-02 20:51:41,2016
ab5dfe5fa63816ca3794f53270516d05f00592865683754b5995866d7cc7ae83, dnotua, 2017-08-22 22:24:44,1.0,6.0,2017-09-10 04:09:23,2017
42ddc1f6f4236b23b41c6dcc817a86a625ab89d7bc0701d0df9a1a1042e99d40, benign, 2014-07-17 21:45:12,0.0,0.0,2014-07-26 17:22:17,2014
46e2fc1a36def0149dd86d13e4e22c273a768700107662ba72f753a43788f06d, benign, 2014-10-08 00:51:26,0.0,0.0,2016-02-03 05:14:44,2016
05067736cc9783a5bb9ab0b5cb77e81ed5ddff80e81fbdece5fc7f6be70f818d, benign, 2014-01-17 14:09:38,0.0,0.0,2014-03-16 01:48:47,2014
499bd8eec1d2decffe52d33a04a9345839ad1bf3493f1371e6f0e5c4956091b3, dnotua, 2018-11-02 19:54:28,1.0,5.0,2018-12-13 05:59:39,2018
30fe1c5e3254b6053f846316f2fd80b0e615e8cc20f9ac5351b1fc620c3af5e3, kuguo, 2015-12-18 09:50:26,1.0,8.0,2016-02-09 13:21:40,2016
ee90dba8dea1b81d18c965172f8280257c59db244110ad1169ab6e220e5ef4fc, dowgin, 2015-12-31 15:53:56,1.0,16.0,2016-03-22 03:20:09,2016
