sha256,family,date,label,vt,vt_scan_date,vt_year
d9769d2e11256db12dabd53a9700f2b9e94912a106844281c9ee328d80de059b, geinimi, 2020-12-20 20:39:56,1.0,15.0,2020-12-24 00:43:23,2020
85ed56e80c0171612c43029d5ce61ed5c208c337e4f15eb18294c1e93534ed54, benign, 2020-10-26 10:02:00,0.0,0.0,2020-12-04 15:48:53,2020
4b7018f78195c0e4f5a8afd10e4fb5e65b2e84ef48d67ed972d23b7e2bde7472, multiverze, 2020-08-20 13:45:06,1.0,25.0,2020-08-29 08:00:03,2020
5cd32e87a61c6c16676a0eb65b1816950d151f9b3a99b93bb7f1c2288149c20c, fakeadblocker, 2020-07-21 15:02:42,1.0,26.0,2020-12-08 01:33:37,2020
70dbd9169b30b44f0c029093532736153457adf8d5ad095d59f334326545427b, benign, 2020-08-19 19:06:04,0.0,0.0,2020-09-21 07:09:48,2020
55bd97b8974b7f55bf2a14be4ef1d8d63dc1214e91858adb4d9fccfed9850f9f, tencentprotect, 2019-05-15 18:23:08,1.0,6.0,2020-05-11 12:32:03,2020
2a3b236a8d38db8495944757389d2d77dbc62d12b962eb66f60d4350440a300f, benign, 2020-06-24 10:05:48,0.0,0.0,2021-01-04 10:05:09,2021
66e98c1328d1d9ffd9e8f45c87340b7fea9431e364f03821ea9f13370e24aeae, geinimi, 2020-12-20 22:08:32,1.0,15.0,2020-12-24 01:43:13,2020
2657b378f1bd7560d474d1008253ba40725bff4e33c7aa0b82b32b8ddbd56b27, benign, 2019-09-24 15:21:12,0.0,0.0,2020-07-04 10:35:55,2020
725c5f235c48d3c89f5a0c29640a5721059c7031cb993acb776e0ae61235171f, benign, 2019-09-29 22:11:36,0.0,0.0,2020-08-06 10:01:30,2020
be4e7bdafb2b19f874e9c53a6edd3191136a1cbe834081886d95760313bf9282, benign, 2019-09-09 18:03:24,0.0,0.0,2020-07-06 07:58:43,2020
413b1c2276311776e1cbb028081411597080b58fdb904fd0d16595211b1f81e7, benign, 2020-05-29 08:59:28,0.0,0.0,2020-06-05 10:10:12,2020
1e8c898e3bb9ff0ac15cbeed76cf57219a40a143f2fe07981a7739b007d2ba87, ewind, 2020-05-26 03:17:12,1.0,19.0,2020-06-12 05:19:25,2020
e730dcd23ad3418fded9ae7e65330ffb83d3e7147532d7b389b642ccae1449c8, benign, 2019-12-31 10:34:12,0.0,0.0,2020-06-16 12:28:15,2020
8e7fc67fd995621f1ffc0d6b20ec4175e48caff172ff2a3f953d82d6f3494af7, commplat, 2020-10-29 10:26:26,1.0,12.0,2020-11-11 21:02:34,2020
bac73a984bc247c2f9fb1a8a1bb6bb15bea015ecbc8ac4d5327da1579f0c9a31, benign, 2020-05-04 15:03:30,0.0,0.0,2020-08-01 08:48:33,2020
cdfbd148130e98026c563dcd843880c36760fd382d39f790b228a06b9a2b0e54, ewind, 2020-08-15 17:05:44,1.0,24.0,2020-09-02 18:25:02,2020
e6477877f68bdec85d1c77efc4923d9bb2baef3ce1a7c25f21ac6e44d251c7e4, svpeng, 2020-08-27 18:52:58,1.0,29.0,2020-10-06 19:30:54,2020
0ed25e9d82f3b09ebd52eef8b78c2915824e4f4d4dbd1eb5a3b7196032a608db, smsreg, 2019-08-04 16:48:34,1.0,11.0,2020-07-03 12:31:12,2020
302cb11edaff56ecac14ea0b8208c50cad5d9e04e461eff0cca6b7c505157b1e, benign, 2020-04-04 16:17:34,0.0,0.0,2020-07-22 17:57:01,2020
